iter	Passed	Remaining
890	49320	6033
891	49371	5977
892	49421	5921
893	49475	5866
894	49533	5811
895	49587	5755
896	49649	5701
897	49700	5645
898	49753	5589
899	49808	5534
900	49865	5479
901	49918	5423
902	49973	5368
903	50030	5313
904	50084	5257
905	50139	5202
906	50562	5184
907	50666	5133
908	50714	5077
909	50766	5020
910	50814	4964
911	50869	4908
912	50921	4852
913	50986	4797
914	51047	4742
915	51110	4686
916	51162	4630
917	51208	4574
918	51253	4517
919	51303	4461
920	51365	4405
921	51428	4350
922	51492	4295
923	51549	4239
924	51610	4184
925	51670	4129
926	51771	4076
927	51834	4021
928	51924	3968
929	51985	3912
930	52046	3857
931	52125	3803
932	52207	3749
933	52275	3693
934	52343	3638
935	52396	3582
936	52455	3526
937	52511	3470
938	52566	3414
939	52619	3358
940	52674	3302
941	52733	3246
942	52790	3190
943	52850	3135
944	52990	3084
945	53057	3028
946	53116	2972
947	53168	2916
948	53221	2860
949	53272	2803
950	53320	2747
951	53368	2690
952	53414	2634
953	53458	2577
954	53502	2521
955	53548	2464
956	53598	2408
957	53647	2351
958	53693	2295
959	53739	2239
960	53787	2182
961	53836	2126
962	53881	2070
963	53929	2013
964	54014	1959
965	54065	1902
966	54107	1846
967	54151	1790
968	54193	1733
969	54236	1677
970	54282	1621
971	54326	1564
972	54368	1508
973	54415	1452
974	54458	1396
975	54506	1340
976	54561	1284
977	54612	1228
978	54659	1172
979	54704	1116
980	54747	1060
981	54792	1004
982	54846	948
983	54896	892
984	54948	836
985	55010	781
986	55099	725
987	55210	670
988	55277	614
989	55339	558
990	55401	503
991	55465	447
992	55519	391
993	55575	335
994	55622	279
995	55670	223
996	55727	167
997	55782	111
998	55839	55
999	55886	0
